n° 	mediumBlock 	mediumBest
1 	0.808891 	0.864645
2 	0.809148 	0.880400
3 	0.806554 	0.880400
4 	0.798950 	0.880400
5 	0.808636 	0.880400
6 	0.807798 	0.880400
7 	0.793481 	0.880400
8 	0.806261 	0.880400
9 	0.794435 	0.880400
10 	0.797496 	0.880400
11 	0.792607 	0.881188
12 	0.790758 	0.881188
13 	0.802199 	0.881188
14 	0.792191 	0.881188
15 	0.789062 	0.881188
16 	0.797282 	0.881188
17 	0.781963 	0.881188
18 	0.795475 	0.881188
19 	0.802530 	0.881188
20 	0.793469 	0.881188
21 	0.794092 	0.881188
22 	0.800795 	0.881188
23 	0.796297 	0.881188
24 	0.795028 	0.881188
25 	0.799838 	0.881188
26 	0.793121 	0.881188
27 	0.785955 	0.881188
28 	0.797407 	0.881188
29 	0.793582 	0.881188
30 	0.792494 	0.881188
31 	0.784039 	0.881188
32 	0.793371 	0.881188
33 	0.790469 	0.881188
34 	0.787874 	0.881188
35 	0.794139 	0.881188
36 	0.790245 	0.881188
37 	0.796174 	0.881188
38 	0.791444 	0.881188
39 	0.793881 	0.881188
40 	0.796764 	0.881188
41 	0.791650 	0.881188
42 	0.800444 	0.881188
43 	0.790749 	0.881188
44 	0.799200 	0.881188
45 	0.787443 	0.881188
46 	0.788367 	0.881188
47 	0.787004 	0.881188
48 	0.795747 	0.881188
49 	0.793897 	0.881188
50 	0.795049 	0.881188
51 	0.795425 	0.881188
52 	0.804673 	0.881188
53 	0.785511 	0.881188
54 	0.789439 	0.881188
55 	0.795896 	0.881188
56 	0.788669 	0.881188
57 	0.790410 	0.881188
58 	0.799649 	0.881188
59 	0.799291 	0.881188
60 	0.790209 	0.881188
61 	0.797980 	0.881188
62 	0.788980 	0.881188
63 	0.794180 	0.881188
64 	0.793458 	0.881188
65 	0.786969 	0.881188
66 	0.796636 	0.881188
67 	0.789172 	0.881188
68 	0.792774 	0.881188
69 	0.802093 	0.881188
70 	0.794765 	0.881188
71 	0.798082 	0.881188
72 	0.791015 	0.881188
73 	0.794662 	0.881188
74 	0.791747 	0.881188
75 	0.784662 	0.881188
76 	0.788123 	0.881188
77 	0.791179 	0.881188
78 	0.798444 	0.881188
79 	0.781257 	0.881188
80 	0.788289 	0.881188
81 	0.795709 	0.881188
82 	0.799154 	0.881188
83 	0.795265 	0.881188
84 	0.796831 	0.881188
85 	0.798046 	0.881188
86 	0.795689 	0.881188
87 	0.794781 	0.881188
88 	0.788334 	0.881188
89 	0.794097 	0.881188
90 	0.789186 	0.881188
91 	0.791385 	0.881188
92 	0.783797 	0.881188
93 	0.797525 	0.881188
94 	0.787746 	0.881188
95 	0.796673 	0.881188
96 	0.795455 	0.881188
97 	0.790526 	0.881188
98 	0.793036 	0.881411
99 	0.793885 	0.881411
100 	0.799407 	0.881411
101 	0.791675 	0.881411
102 	0.792226 	0.881411
103 	0.789700 	0.881411
104 	0.781963 	0.881411
105 	0.798642 	0.881411
106 	0.792536 	0.881411
107 	0.789760 	0.881411
108 	0.793786 	0.881411
109 	0.788508 	0.881411
110 	0.791034 	0.881411
111 	0.790237 	0.881411
112 	0.793226 	0.881411
113 	0.792161 	0.881411
114 	0.792408 	0.881411
115 	0.791071 	0.881411
116 	0.792177 	0.881411
117 	0.789529 	0.881411
118 	0.796800 	0.881411
119 	0.782982 	0.881411
120 	0.794557 	0.881411
121 	0.782868 	0.881411
122 	0.788460 	0.881411
123 	0.796125 	0.881411
124 	0.793926 	0.881411
125 	0.798611 	0.881411
126 	0.786379 	0.881411
127 	0.793544 	0.881411
128 	0.796789 	0.881411
129 	0.790195 	0.881411
130 	0.784312 	0.881411
131 	0.791868 	0.881411
132 	0.787742 	0.881411
133 	0.787284 	0.881411
134 	0.787761 	0.881411
135 	0.781918 	0.881411
136 	0.781361 	0.881411
137 	0.786364 	0.881411
138 	0.785882 	0.881411
139 	0.793469 	0.881411
140 	0.786465 	0.881411
141 	0.791345 	0.881411
142 	0.786714 	0.881411
143 	0.785628 	0.881411
144 	0.789011 	0.881411
145 	0.794805 	0.881411
146 	0.792649 	0.881411
147 	0.786359 	0.881411
148 	0.786359 	0.881411
149 	0.800274 	0.881411
150 	0.805076 	0.881411
151 	0.790357 	0.881411
152 	0.784678 	0.881411
153 	0.786164 	0.881411
154 	0.797575 	0.881411
155 	0.785242 	0.881411
156 	0.790087 	0.881411
157 	0.786497 	0.881411
158 	0.784751 	0.881411
159 	0.790664 	0.881411
160 	0.789996 	0.881411
161 	0.789415 	0.881411
162 	0.793600 	0.881411
163 	0.792829 	0.881411
164 	0.790899 	0.881411
165 	0.795773 	0.881411
166 	0.789849 	0.881411
167 	0.786248 	0.881411
168 	0.793116 	0.881411
169 	0.779670 	0.881411
170 	0.789832 	0.881411
171 	0.789341 	0.881411
172 	0.788658 	0.881411
173 	0.785942 	0.881411
174 	0.787102 	0.881411
175 	0.792156 	0.881411
176 	0.792790 	0.881411
177 	0.793739 	0.881411
178 	0.790077 	0.881411
179 	0.784286 	0.881411
180 	0.783784 	0.881411
181 	0.788381 	0.881411
182 	0.790084 	0.881411
183 	0.783804 	0.881411
184 	0.803051 	0.881411
185 	0.798456 	0.881411
186 	0.797778 	0.881411
187 	0.799491 	0.881411
188 	0.794012 	0.881411
189 	0.788170 	0.881411
190 	0.790500 	0.881411
191 	0.794832 	0.881411
192 	0.789115 	0.881411
193 	0.787312 	0.881411
194 	0.794274 	0.881411
195 	0.798436 	0.881411
196 	0.789699 	0.881411
197 	0.782624 	0.881411
198 	0.798596 	0.881411
199 	0.783026 	0.881411
200 	0.784225 	0.881411
201 	0.794952 	0.881411
202 	0.799702 	0.881411
203 	0.784980 	0.881411
204 	0.787821 	0.881411
205 	0.792582 	0.881411
206 	0.798625 	0.881411
207 	0.794716 	0.881411
208 	0.786728 	0.881411
209 	0.794422 	0.881411
210 	0.781417 	0.881411
211 	0.790823 	0.881411
212 	0.788604 	0.881411
213 	0.789693 	0.881411
214 	0.795879 	0.881411
215 	0.785386 	0.881411
216 	0.780494 	0.881411
217 	0.790217 	0.881411
218 	0.794672 	0.881411
219 	0.790392 	0.881411
220 	0.787267 	0.881411
221 	0.790082 	0.881411
222 	0.792568 	0.881411
223 	0.792973 	0.881411
224 	0.787869 	0.881411
225 	0.792917 	0.881411
226 	0.786321 	0.881411
227 	0.787294 	0.881411
228 	0.786686 	0.881411
229 	0.788930 	0.881411
230 	0.783327 	0.881411
231 	0.789461 	0.881411
232 	0.791907 	0.881411
233 	0.798000 	0.881411
234 	0.787984 	0.881411
235 	0.789549 	0.881411
236 	0.785712 	0.881411
237 	0.795350 	0.881411
238 	0.790253 	0.881411
239 	0.789126 	0.881411
240 	0.793479 	0.881411
241 	0.788803 	0.881411
242 	0.790543 	0.881411
243 	0.801063 	0.881411
244 	0.784731 	0.881411
245 	0.790794 	0.881411
246 	0.778084 	0.881411
247 	0.785252 	0.881411
248 	0.785659 	0.881411
249 	0.796255 	0.881411
250 	0.790032 	0.881411
251 	0.788344 	0.881411
252 	0.791247 	0.881411
253 	0.798353 	0.881411
254 	0.786639 	0.881411
255 	0.789190 	0.881411
256 	0.790089 	0.881411
257 	0.789934 	0.881411
258 	0.792979 	0.881411
259 	0.789217 	0.881411
260 	0.781405 	0.881411
261 	0.790664 	0.881411
262 	0.795473 	0.881411
263 	0.780632 	0.881411
264 	0.785006 	0.881411
265 	0.786127 	0.881411
266 	0.791890 	0.881411
267 	0.785079 	0.881411
268 	0.784038 	0.881411
269 	0.789794 	0.881411
270 	0.786544 	0.881411
271 	0.798457 	0.881411
272 	0.797809 	0.881411
