n° 	mediumBlock 	mediumBest
1 	0.804659 	0.875769
2 	0.803358 	0.885707
3 	0.797574 	0.885707
4 	0.803249 	0.885707
5 	0.795470 	0.907194
6 	0.798639 	0.907194
7 	0.793798 	0.907194
8 	0.804363 	0.907194
9 	0.793360 	0.907194
10 	0.800702 	0.907194
11 	0.797510 	0.907194
12 	0.795661 	0.907194
13 	0.790886 	0.907194
14 	0.798589 	0.907194
15 	0.792753 	0.907194
16 	0.800199 	0.907194
17 	0.797462 	0.907194
18 	0.792743 	0.907194
19 	0.802299 	0.907194
20 	0.787978 	0.907194
21 	0.792385 	0.907194
22 	0.797501 	0.907194
23 	0.792439 	0.907194
24 	0.791841 	0.907194
25 	0.783844 	0.907194
26 	0.794888 	0.907194
27 	0.794657 	0.907194
28 	0.804325 	0.907194
29 	0.798928 	0.907194
30 	0.792356 	0.907194
31 	0.795342 	0.907194
32 	0.793541 	0.907194
33 	0.795962 	0.907194
34 	0.796754 	0.907194
35 	0.792843 	0.907194
36 	0.788997 	0.907194
37 	0.790528 	0.907194
38 	0.794236 	0.907194
39 	0.790896 	0.907194
40 	0.792569 	0.907194
41 	0.793697 	0.907194
42 	0.787716 	0.907194
43 	0.800402 	0.907194
44 	0.787273 	0.907194
45 	0.787568 	0.907194
46 	0.798766 	0.907194
47 	0.795712 	0.907194
48 	0.802110 	0.907194
49 	0.794580 	0.907194
50 	0.790239 	0.907194
51 	0.794771 	0.907194
52 	0.797276 	0.907194
53 	0.791327 	0.907194
54 	0.803086 	0.907194
55 	0.795835 	0.907194
56 	0.792675 	0.907194
57 	0.789044 	0.907194
58 	0.787270 	0.907194
59 	0.791515 	0.907194
60 	0.788394 	0.907194
61 	0.792954 	0.907194
62 	0.796888 	0.907194
63 	0.792348 	0.907194
64 	0.794222 	0.907194
65 	0.790873 	0.907194
66 	0.795044 	0.907194
67 	0.796586 	0.907194
68 	0.791044 	0.907194
69 	0.792081 	0.907194
70 	0.787884 	0.907194
71 	0.794661 	0.907194
72 	0.788150 	0.907194
73 	0.787969 	0.907194
74 	0.797041 	0.907194
75 	0.787367 	0.907194
76 	0.789151 	0.907194
77 	0.785838 	0.907194
78 	0.793424 	0.907194
79 	0.795359 	0.907194
80 	0.795235 	0.907194
81 	0.789837 	0.907194
82 	0.786286 	0.907194
83 	0.792585 	0.907194
84 	0.795866 	0.907194
85 	0.788133 	0.907194
86 	0.791425 	0.907194
87 	0.794162 	0.907194
88 	0.801717 	0.907194
89 	0.782073 	0.907194
90 	0.796946 	0.907194
91 	0.794927 	0.907194
92 	0.797150 	0.907194
93 	0.790794 	0.907194
94 	0.782731 	0.907194
95 	0.781197 	0.907194
96 	0.791647 	0.907194
97 	0.795847 	0.907194
98 	0.791925 	0.907194
99 	0.792249 	0.907194
100 	0.794108 	0.907194
101 	0.786090 	0.907194
102 	0.790552 	0.907194
103 	0.801942 	0.907194
104 	0.794886 	0.907194
105 	0.791199 	0.907194
106 	0.789283 	0.907194
107 	0.787323 	0.907194
108 	0.787796 	0.907194
109 	0.793230 	0.907194
110 	0.781181 	0.907194
111 	0.786178 	0.907194
112 	0.795887 	0.907194
113 	0.792850 	0.907194
114 	0.788836 	0.907194
115 	0.784873 	0.907194
116 	0.796191 	0.907194
117 	0.789648 	0.907194
118 	0.793888 	0.907194
119 	0.798132 	0.907194
120 	0.785622 	0.907194
121 	0.788884 	0.907194
122 	0.790459 	0.907194
123 	0.791850 	0.907194
124 	0.792003 	0.907194
125 	0.792214 	0.907194
126 	0.793285 	0.907194
127 	0.794674 	0.907194
128 	0.787902 	0.907194
129 	0.803350 	0.907194
130 	0.786757 	0.907194
131 	0.790411 	0.907194
132 	0.786922 	0.907194
133 	0.798905 	0.907194
134 	0.787979 	0.907194
135 	0.799457 	0.907194
136 	0.789769 	0.907194
137 	0.792542 	0.907194
138 	0.784869 	0.907194
139 	0.784006 	0.907194
140 	0.789621 	0.907194
141 	0.792993 	0.907194
142 	0.789054 	0.907194
143 	0.790333 	0.907194
144 	0.784667 	0.907194
145 	0.800479 	0.907194
146 	0.791098 	0.907194
147 	0.792106 	0.907194
148 	0.790251 	0.907194
149 	0.801134 	0.907194
150 	0.789275 	0.907194
151 	0.794290 	0.907194
152 	0.786331 	0.907194
153 	0.794246 	0.907194
154 	0.791594 	0.907194
155 	0.787783 	0.907194
156 	0.779932 	0.907194
157 	0.795735 	0.907194
158 	0.796988 	0.907194
159 	0.788373 	0.907194
160 	0.782384 	0.907194
161 	0.784032 	0.907194
162 	0.798082 	0.907194
163 	0.790810 	0.907194
164 	0.799669 	0.907194
165 	0.786330 	0.907194
166 	0.797104 	0.907194
167 	0.782705 	0.907194
168 	0.790587 	0.907194
169 	0.795914 	0.907194
170 	0.803705 	0.907194
171 	0.795283 	0.907194
172 	0.802894 	0.907194
173 	0.797010 	0.907194
174 	0.789163 	0.907194
175 	0.786314 	0.907194
176 	0.798006 	0.907194
177 	0.792213 	0.907194
178 	0.792103 	0.907194
179 	0.797140 	0.907194
180 	0.796589 	0.907194
181 	0.799930 	0.907194
182 	0.797291 	0.907194
183 	0.795130 	0.907194
184 	0.791121 	0.907194
185 	0.804070 	0.907194
186 	0.785669 	0.907194
187 	0.780836 	0.907194
188 	0.796465 	0.907194
189 	0.785654 	0.907194
190 	0.786468 	0.907194
191 	0.788856 	0.907194
192 	0.792290 	0.907194
193 	0.791483 	0.907194
194 	0.781853 	0.907194
195 	0.789928 	0.907194
196 	0.789517 	0.907194
197 	0.789939 	0.907194
198 	0.795917 	0.907194
199 	0.788475 	0.907194
200 	0.793128 	0.907194
201 	0.790288 	0.907194
202 	0.790501 	0.907194
203 	0.783767 	0.907194
204 	0.786359 	0.907194
205 	0.788993 	0.907194
206 	0.790056 	0.907194
207 	0.779954 	0.907194
208 	0.793204 	0.907194
209 	0.790233 	0.907194
210 	0.788031 	0.907194
211 	0.787516 	0.907194
212 	0.785135 	0.907194
213 	0.791507 	0.907194
214 	0.794386 	0.907194
215 	0.787567 	0.907194
216 	0.786773 	0.907194
217 	0.794031 	0.907194
218 	0.797394 	0.907194
219 	0.792180 	0.907194
220 	0.793239 	0.907194
221 	0.792426 	0.907194
222 	0.786995 	0.907194
223 	0.789605 	0.907194
224 	0.797803 	0.907194
225 	0.784257 	0.907194
226 	0.790647 	0.907194
227 	0.789135 	0.907194
228 	0.789620 	0.907194
229 	0.791559 	0.907194
230 	0.793079 	0.907194
231 	0.790009 	0.907194
232 	0.792429 	0.907194
233 	0.792805 	0.907194
