n° 	mediumBlock 	mediumBest
1 	0.806985 	0.879818
2 	0.802267 	0.879818
3 	0.798759 	0.879818
4 	0.805755 	0.879818
5 	0.806879 	0.879818
6 	0.796363 	0.879818
7 	0.793409 	0.879818
8 	0.792109 	0.879818
9 	0.794867 	0.879818
10 	0.799811 	0.879818
11 	0.793358 	0.879818
12 	0.796548 	0.879818
13 	0.793686 	0.879818
14 	0.798887 	0.879818
15 	0.802553 	0.879818
16 	0.799512 	0.886768
17 	0.789585 	0.886768
18 	0.788531 	0.886768
19 	0.804812 	0.886768
20 	0.795754 	0.886768
21 	0.798473 	0.886768
22 	0.804889 	0.886768
23 	0.788943 	0.886768
24 	0.794399 	0.886768
25 	0.792868 	0.886768
26 	0.791114 	0.886768
27 	0.790953 	0.886768
28 	0.800038 	0.886768
29 	0.792572 	0.886768
30 	0.793252 	0.886768
31 	0.791357 	0.886768
32 	0.802755 	0.886768
33 	0.791014 	0.886768
34 	0.793946 	0.886768
35 	0.798237 	0.886768
36 	0.800615 	0.886768
37 	0.792753 	0.886768
38 	0.801219 	0.886768
39 	0.793745 	0.886768
40 	0.792938 	0.886768
41 	0.800082 	0.886768
42 	0.790660 	0.886768
43 	0.798443 	0.886768
44 	0.801711 	0.886768
45 	0.787421 	0.886768
46 	0.791179 	0.886768
47 	0.791648 	0.886768
48 	0.791216 	0.886768
49 	0.796568 	0.886768
50 	0.792515 	0.886768
51 	0.794357 	0.886768
52 	0.791191 	0.886768
53 	0.793602 	0.886768
54 	0.781859 	0.886768
55 	0.787472 	0.886768
56 	0.799398 	0.886768
57 	0.801872 	0.886768
58 	0.790815 	0.886768
59 	0.792672 	0.886768
60 	0.789991 	0.886768
61 	0.800379 	0.886768
62 	0.787944 	0.886768
63 	0.793447 	0.886768
64 	0.788109 	0.886768
65 	0.792951 	0.886768
66 	0.798389 	0.886768
67 	0.791881 	0.886768
68 	0.782976 	0.886768
69 	0.786180 	0.886768
70 	0.794395 	0.886768
71 	0.788025 	0.886768
72 	0.793262 	0.886768
73 	0.791342 	0.886768
74 	0.791257 	0.886768
75 	0.786385 	0.886768
76 	0.789064 	0.886768
77 	0.786299 	0.886768
78 	0.785542 	0.886768
79 	0.789071 	0.886768
80 	0.792096 	0.886768
81 	0.782479 	0.886768
82 	0.807776 	0.886768
83 	0.790425 	0.886768
84 	0.799899 	0.886768
85 	0.792874 	0.886768
86 	0.791271 	0.886768
87 	0.784620 	0.886768
88 	0.794127 	0.886768
89 	0.784467 	0.886768
90 	0.787319 	0.886768
91 	0.795795 	0.886768
92 	0.789694 	0.886768
93 	0.796517 	0.886768
94 	0.786343 	0.886768
95 	0.791261 	0.886768
96 	0.786734 	0.886768
97 	0.785477 	0.886768
98 	0.788944 	0.886768
99 	0.796022 	0.886768
100 	0.786202 	0.886768
