n° 	mediumBlock 	mediumBest
1 	0.806172 	0.878288
2 	0.805147 	0.878288
3 	0.806501 	0.884550
4 	0.804113 	0.884550
5 	0.796790 	0.884550
6 	0.800612 	0.884550
7 	0.800917 	0.884550
8 	0.799257 	0.884550
9 	0.793180 	0.884550
10 	0.812052 	0.884550
11 	0.809453 	0.884550
12 	0.801388 	0.884550
13 	0.795998 	0.884550
14 	0.792226 	0.884550
15 	0.798179 	0.884550
16 	0.789927 	0.884550
17 	0.794917 	0.884550
18 	0.792826 	0.884550
19 	0.795235 	0.884550
20 	0.801703 	0.884550
21 	0.791821 	0.884550
22 	0.798851 	0.884550
23 	0.794987 	0.884550
24 	0.798572 	0.884550
25 	0.795266 	0.884550
26 	0.791055 	0.884550
27 	0.805828 	0.884550
28 	0.792242 	0.884550
29 	0.798604 	0.884550
30 	0.795128 	0.884550
31 	0.788527 	0.884550
32 	0.792584 	0.884550
33 	0.789963 	0.884550
34 	0.797108 	0.884550
35 	0.787789 	0.884550
36 	0.799920 	0.884550
37 	0.796555 	0.884550
38 	0.790989 	0.884550
39 	0.796232 	0.884550
40 	0.787814 	0.884550
41 	0.786267 	0.884550
42 	0.788324 	0.884550
43 	0.794152 	0.884550
44 	0.789283 	0.884550
45 	0.791533 	0.884550
46 	0.786631 	0.884550
47 	0.785612 	0.884550
48 	0.790305 	0.884550
49 	0.792967 	0.884550
50 	0.795589 	0.884550
51 	0.800267 	0.884550
52 	0.784524 	0.884550
53 	0.783766 	0.884550
54 	0.796753 	0.884550
55 	0.795254 	0.884550
56 	0.799281 	0.884550
57 	0.795753 	0.884550
58 	0.798268 	0.884550
59 	0.785663 	0.884550
60 	0.795506 	0.884550
61 	0.797453 	0.884550
62 	0.795900 	0.884550
63 	0.792846 	0.884550
64 	0.790403 	0.884550
65 	0.794014 	0.884550
66 	0.786473 	0.884550
67 	0.793506 	0.884550
68 	0.795727 	0.884550
69 	0.799561 	0.884550
70 	0.799283 	0.884550
71 	0.796011 	0.884550
72 	0.792328 	0.884550
73 	0.788530 	0.884550
74 	0.789334 	0.884550
