n° 	mediumBlock 	mediumBest
1 	0.821880 	0.885655
2 	0.811158 	0.885655
3 	0.806213 	0.885655
4 	0.805045 	0.885655
5 	0.798035 	0.885655
6 	0.798590 	0.885655
7 	0.801955 	0.885655
8 	0.791607 	0.885655
9 	0.796844 	0.885655
10 	0.798155 	0.885655
11 	0.796794 	0.885655
12 	0.798780 	0.885655
13 	0.804225 	0.885655
14 	0.793012 	0.885655
15 	0.794284 	0.885655
16 	0.805193 	0.885655
17 	0.802838 	0.885655
18 	0.788988 	0.885655
19 	0.797062 	0.885655
20 	0.795325 	0.885655
21 	0.792638 	0.885655
22 	0.792913 	0.885655
23 	0.795434 	0.885655
24 	0.794192 	0.885655
25 	0.786360 	0.885655
26 	0.799309 	0.885655
27 	0.799744 	0.885655
28 	0.800186 	0.885655
29 	0.790099 	0.885655
30 	0.805315 	0.885655
31 	0.804792 	0.885655
32 	0.790655 	0.885655
33 	0.787678 	0.885655
34 	0.788758 	0.885655
35 	0.795150 	0.885655
36 	0.785702 	0.885655
37 	0.798991 	0.885655
38 	0.787681 	0.885655
39 	0.793370 	0.885655
40 	0.800574 	0.885655
41 	0.796363 	0.885655
42 	0.788557 	0.885655
43 	0.788213 	0.885655
44 	0.788923 	0.885655
45 	0.784830 	0.885655
46 	0.790923 	0.885655
47 	0.803380 	0.885655
48 	0.790192 	0.885655
49 	0.794106 	0.885655
50 	0.792986 	0.885655
51 	0.794516 	0.885655
52 	0.785812 	0.885655
53 	0.789221 	0.885655
54 	0.789782 	0.885655
55 	0.796026 	0.885655
56 	0.789949 	0.885655
57 	0.796313 	0.885655
58 	0.795117 	0.885655
59 	0.793712 	0.885655
60 	0.791231 	0.885655
61 	0.785820 	0.885655
62 	0.787960 	0.885655
63 	0.797147 	0.885655
64 	0.794812 	0.885655
65 	0.782022 	0.885655
66 	0.788493 	0.885655
67 	0.792020 	0.885655
68 	0.789047 	0.885655
69 	0.793749 	0.885655
70 	0.787015 	0.885655
71 	0.784596 	0.885655
72 	0.800042 	0.885655
73 	0.785040 	0.885655
74 	0.782649 	0.885655
75 	0.795543 	0.885655
76 	0.791777 	0.885655
77 	0.795704 	0.885655
78 	0.790128 	0.885655
79 	0.802498 	0.885655
80 	0.798339 	0.885655
81 	0.792266 	0.885655
82 	0.784236 	0.885655
83 	0.791281 	0.885655
84 	0.794574 	0.885655
85 	0.803793 	0.885655
86 	0.791093 	0.885655
87 	0.787035 	0.885655
88 	0.793880 	0.885655
89 	0.791709 	0.885655
90 	0.793108 	0.885655
91 	0.794852 	0.885655
92 	0.786942 	0.885655
93 	0.788252 	0.885655
94 	0.796360 	0.885655
95 	0.785166 	0.885655
96 	0.784340 	0.885655
97 	0.792645 	0.885655
98 	0.786991 	0.885655
99 	0.791719 	0.885655
100 	0.787790 	0.885655
101 	0.792825 	0.885655
102 	0.789929 	0.885655
103 	0.800738 	0.885655
104 	0.789475 	0.885655
105 	0.779926 	0.885655
106 	0.796402 	0.885655
107 	0.789738 	0.885655
108 	0.790183 	0.885655
109 	0.804043 	0.885655
110 	0.792161 	0.885655
111 	0.793450 	0.885655
112 	0.792979 	0.885655
113 	0.791527 	0.885655
