n° 	mediumBlock 	mediumBest
1 	0.809586 	0.871893
2 	0.810031 	0.874866
3 	0.808429 	0.879848
4 	0.796621 	0.887390
5 	0.803654 	0.887390
6 	0.790326 	0.887390
7 	0.802718 	0.887390
8 	0.795947 	0.887390
9 	0.794404 	0.887390
10 	0.796791 	0.887390
11 	0.800706 	0.887390
12 	0.793438 	0.887390
13 	0.795620 	0.887390
14 	0.787155 	0.887390
15 	0.789134 	0.887390
16 	0.797130 	0.887390
17 	0.799233 	0.887390
18 	0.793908 	0.887390
19 	0.801458 	0.887390
20 	0.789295 	0.887390
21 	0.798985 	0.887390
22 	0.783397 	0.887390
23 	0.787300 	0.887390
24 	0.796395 	0.887390
25 	0.791015 	0.887390
26 	0.793583 	0.887390
27 	0.798957 	0.887390
28 	0.790386 	0.887390
29 	0.778908 	0.887390
30 	0.796108 	0.887390
31 	0.787808 	0.887390
32 	0.798184 	0.887390
33 	0.797331 	0.887390
34 	0.786866 	0.887390
35 	0.799915 	0.887390
36 	0.790816 	0.887390
37 	0.789791 	0.887390
38 	0.787568 	0.887390
39 	0.784156 	0.887390
40 	0.792215 	0.887390
41 	0.788301 	0.887390
42 	0.793357 	0.887390
43 	0.796386 	0.887390
44 	0.792820 	0.887390
45 	0.792643 	0.887390
46 	0.786227 	0.887390
47 	0.794927 	0.887390
48 	0.797376 	0.887390
49 	0.786176 	0.887390
50 	0.793071 	0.887390
51 	0.791034 	0.887390
52 	0.785654 	0.887390
53 	0.792656 	0.887390
54 	0.786011 	0.887390
55 	0.793865 	0.887390
56 	0.798358 	0.887390
57 	0.794233 	0.887390
58 	0.794093 	0.887390
59 	0.781967 	0.887390
60 	0.793214 	0.887390
61 	0.786856 	0.887390
62 	0.793097 	0.887390
63 	0.796934 	0.887390
64 	0.790583 	0.887390
65 	0.794993 	0.887390
66 	0.797227 	0.887390
67 	0.800889 	0.887390
68 	0.789878 	0.887390
69 	0.792098 	0.887390
70 	0.788696 	0.887390
71 	0.795255 	0.887390
72 	0.789384 	0.887390
73 	0.790658 	0.887390
74 	0.790355 	0.887390
75 	0.786587 	0.887390
76 	0.786641 	0.887390
77 	0.786316 	0.887390
78 	0.787879 	0.887390
79 	0.787870 	0.887390
80 	0.785481 	0.887390
81 	0.796255 	0.887390
82 	0.787573 	0.887390
83 	0.787113 	0.887390
84 	0.792251 	0.887390
85 	0.793400 	0.887390
86 	0.793007 	0.887390
