n° 	mediumBlock 	mediumBest
1 	0.817416 	0.894373
2 	0.817801 	0.899947
3 	0.818964 	0.899947
4 	0.811860 	0.901480
5 	0.811483 	0.901480
6 	0.808514 	0.901480
7 	0.815313 	0.901480
8 	0.807121 	0.901480
9 	0.802676 	0.901480
10 	0.804363 	0.901480
11 	0.806671 	0.901480
12 	0.808648 	0.901480
13 	0.806481 	0.901480
14 	0.809738 	0.901480
15 	0.802993 	0.901480
16 	0.800545 	0.901480
17 	0.802220 	0.901480
18 	0.795836 	0.901480
19 	0.800137 	0.901480
20 	0.806888 	0.901480
21 	0.808368 	0.901480
22 	0.806519 	0.901480
23 	0.802820 	0.901480
24 	0.809894 	0.901480
25 	0.797816 	0.901480
26 	0.807307 	0.901480
27 	0.807507 	0.901480
28 	0.801281 	0.901480
29 	0.809221 	0.901480
30 	0.802027 	0.901480
31 	0.798970 	0.901480
32 	0.800155 	0.901480
33 	0.804804 	0.901480
34 	0.801106 	0.901480
35 	0.803517 	0.901480
36 	0.804641 	0.901480
37 	0.801342 	0.901480
38 	0.793691 	0.901480
39 	0.803616 	0.901480
40 	0.797709 	0.901480
41 	0.797590 	0.901480
42 	0.802810 	0.901480
43 	0.811817 	0.901480
44 	0.798516 	0.901480
45 	0.799391 	0.901480
46 	0.802416 	0.901480
47 	0.802942 	0.901480
48 	0.805053 	0.901480
49 	0.805877 	0.901480
50 	0.792850 	0.901480
51 	0.799560 	0.901480
52 	0.804652 	0.901480
53 	0.803190 	0.901480
54 	0.807632 	0.901480
55 	0.803533 	0.901480
56 	0.803565 	0.901480
57 	0.796750 	0.901480
58 	0.797971 	0.901480
59 	0.798020 	0.901480
60 	0.816831 	0.901480
61 	0.802049 	0.901480
62 	0.803293 	0.901480
63 	0.797032 	0.901480
64 	0.804922 	0.901480
65 	0.804291 	0.901480
66 	0.795685 	0.901480
67 	0.807596 	0.901480
68 	0.812214 	0.901480
69 	0.800834 	0.901480
70 	0.802497 	0.901480
71 	0.805956 	0.901480
72 	0.800460 	0.901480
73 	0.793201 	0.901480
74 	0.801698 	0.901480
75 	0.799105 	0.901480
76 	0.798343 	0.901480
77 	0.799315 	0.901480
78 	0.798686 	0.901480
79 	0.804839 	0.901480
80 	0.793338 	0.901480
81 	0.804395 	0.901480
82 	0.797651 	0.901480
83 	0.799109 	0.901480
84 	0.800844 	0.901480
85 	0.805293 	0.901480
86 	0.801522 	0.901480
87 	0.813455 	0.901480
88 	0.801379 	0.901480
89 	0.793653 	0.901480
90 	0.799576 	0.901480
91 	0.813718 	0.901480
92 	0.803145 	0.901480
93 	0.804873 	0.901480
94 	0.798106 	0.901480
95 	0.793898 	0.901480
96 	0.804263 	0.901480
97 	0.793993 	0.901480
98 	0.795832 	0.901480
99 	0.797884 	0.901480
100 	0.806618 	0.901480
101 	0.807031 	0.901480
102 	0.801574 	0.901480
103 	0.803288 	0.901480
104 	0.801187 	0.901480
105 	0.793755 	0.901480
106 	0.802723 	0.901480
107 	0.797451 	0.901480
108 	0.794050 	0.901480
109 	0.801157 	0.901480
110 	0.806358 	0.901480
111 	0.801833 	0.901480
112 	0.808096 	0.901480
113 	0.802409 	0.901480
114 	0.801762 	0.901480
115 	0.804387 	0.901480
116 	0.795945 	0.901480
117 	0.801161 	0.901480
118 	0.804063 	0.906972
119 	0.795015 	0.906972
120 	0.795741 	0.906972
121 	0.802973 	0.906972
