n° 	mediumBlock 	mediumBest
1 	0.764805 	0.825937
2 	0.758308 	0.825937
3 	0.761999 	0.825937
4 	0.750754 	0.825937
5 	0.747806 	0.825937
6 	0.754461 	0.825937
7 	0.752370 	0.825937
8 	0.751845 	0.825937
9 	0.750627 	0.825937
10 	0.750064 	0.825937
11 	0.742954 	0.825937
12 	0.747074 	0.825937
13 	0.746305 	0.826800
14 	0.750859 	0.826800
15 	0.746355 	0.826800
16 	0.746479 	0.826800
17 	0.749579 	0.826800
18 	0.747089 	0.826800
19 	0.740415 	0.826800
20 	0.743286 	0.826800
21 	0.748921 	0.826800
22 	0.758506 	0.826800
23 	0.759483 	0.826800
24 	0.750850 	0.826800
25 	0.742380 	0.826800
26 	0.749850 	0.826800
27 	0.744291 	0.826800
28 	0.751690 	0.826800
29 	0.741332 	0.826800
30 	0.750780 	0.826800
31 	0.747257 	0.826800
32 	0.747615 	0.826800
33 	0.746456 	0.826800
34 	0.754926 	0.826800
35 	0.749770 	0.826800
36 	0.747524 	0.826800
37 	0.743239 	0.826800
38 	0.751217 	0.826800
39 	0.739108 	0.826800
40 	0.746391 	0.826800
41 	0.748341 	0.826800
42 	0.753448 	0.826800
43 	0.747866 	0.826800
44 	0.746674 	0.826800
45 	0.744445 	0.826800
46 	0.747280 	0.826800
47 	0.747086 	0.826800
48 	0.749411 	0.826800
49 	0.750674 	0.826800
50 	0.743873 	0.826800
51 	0.744071 	0.826800
52 	0.749553 	0.826800
53 	0.743323 	0.826800
54 	0.746121 	0.826800
55 	0.744893 	0.826800
56 	0.746608 	0.826800
57 	0.745760 	0.826800
58 	0.750781 	0.826800
59 	0.747111 	0.826800
60 	0.751269 	0.826800
61 	0.750546 	0.826800
62 	0.747703 	0.826800
63 	0.740704 	0.826800
64 	0.740862 	0.826800
65 	0.742478 	0.826800
66 	0.743917 	0.826800
67 	0.746183 	0.826800
68 	0.752059 	0.826800
69 	0.747863 	0.826800
70 	0.747215 	0.826800
71 	0.745542 	0.826800
72 	0.747273 	0.826800
73 	0.746290 	0.826800
74 	0.746177 	0.826800
75 	0.748109 	0.831129
76 	0.745494 	0.831129
77 	0.747479 	0.831129
78 	0.757912 	0.831129
79 	0.744977 	0.831129
80 	0.741314 	0.831129
81 	0.749467 	0.831129
82 	0.748205 	0.831129
83 	0.745481 	0.831129
84 	0.745941 	0.831129
85 	0.748763 	0.831129
86 	0.745686 	0.831129
87 	0.748999 	0.831129
88 	0.743020 	0.831129
89 	0.747110 	0.831129
90 	0.745330 	0.831129
91 	0.750012 	0.831129
92 	0.746447 	0.831129
93 	0.750523 	0.831129
94 	0.745714 	0.831129
95 	0.749495 	0.831129
96 	0.753205 	0.831129
97 	0.758156 	0.831129
98 	0.751233 	0.831129
99 	0.747610 	0.831129
100 	0.745582 	0.831129
101 	0.741515 	0.831129
102 	0.751293 	0.831129
103 	0.749714 	0.831129
104 	0.740106 	0.831129
105 	0.740010 	0.831129
106 	0.742564 	0.831129
107 	0.747683 	0.831129
108 	0.747463 	0.831129
109 	0.748630 	0.831129
110 	0.757185 	0.831129
111 	0.746413 	0.831129
112 	0.748700 	0.831129
113 	0.749696 	0.831129
114 	0.744132 	0.831129
115 	0.752635 	0.831129
116 	0.743335 	0.831129
117 	0.748930 	0.831129
118 	0.742012 	0.831129
119 	0.740475 	0.831129
120 	0.740527 	0.831129
121 	0.740735 	0.831129
122 	0.747908 	0.831129
123 	0.753473 	0.831129
124 	0.748619 	0.831129
125 	0.743823 	0.831129
126 	0.745737 	0.831129
127 	0.746869 	0.831129
128 	0.739796 	0.831129
129 	0.752298 	0.831129
130 	0.737503 	0.831129
131 	0.742375 	0.831129
132 	0.744794 	0.831129
133 	0.745872 	0.831129
134 	0.749746 	0.831129
135 	0.745985 	0.831129
136 	0.754263 	0.831129
137 	0.744962 	0.831129
138 	0.746685 	0.831129
139 	0.743340 	0.831129
140 	0.744833 	0.831129
141 	0.741082 	0.831129
142 	0.750112 	0.831129
143 	0.756609 	0.831129
144 	0.742945 	0.831129
145 	0.744720 	0.831129
146 	0.748696 	0.831129
147 	0.749982 	0.831129
148 	0.749519 	0.831129
149 	0.744475 	0.831129
150 	0.749817 	0.831129
151 	0.748395 	0.831129
152 	0.744596 	0.831129
153 	0.756406 	0.831129
154 	0.747866 	0.831129
155 	0.745214 	0.831129
156 	0.740763 	0.831129
157 	0.744293 	0.831129
158 	0.746076 	0.831129
159 	0.745808 	0.831129
160 	0.749558 	0.831129
161 	0.749961 	0.831129
162 	0.749844 	0.834161
163 	0.749478 	0.834161
164 	0.742941 	0.834161
165 	0.744299 	0.834161
166 	0.754419 	0.834161
167 	0.749979 	0.834161
168 	0.747718 	0.834161
169 	0.746854 	0.834161
170 	0.742151 	0.834161
171 	0.746500 	0.834161
172 	0.749806 	0.834161
173 	0.749132 	0.834161
174 	0.738464 	0.834161
175 	0.740280 	0.834161
176 	0.741340 	0.834161
177 	0.743193 	0.834161
178 	0.747908 	0.834161
179 	0.745479 	0.834161
180 	0.737835 	0.834161
181 	0.744414 	0.834161
182 	0.756026 	0.834161
183 	0.744719 	0.834161
184 	0.742049 	0.834161
185 	0.746619 	0.834161
186 	0.749845 	0.834161
187 	0.743636 	0.834161
188 	0.743881 	0.834161
189 	0.747023 	0.834161
190 	0.748605 	0.834161
191 	0.748917 	0.834161
192 	0.749119 	0.834161
193 	0.749786 	0.834161
194 	0.740675 	0.834161
195 	0.746339 	0.834161
196 	0.742244 	0.834161
197 	0.741789 	0.834161
198 	0.748343 	0.834161
199 	0.746231 	0.834161
200 	0.743614 	0.834161
201 	0.742285 	0.834161
202 	0.742788 	0.834161
203 	0.745920 	0.834161
204 	0.745712 	0.834161
205 	0.744304 	0.834161
206 	0.750003 	0.834161
207 	0.744706 	0.834161
208 	0.748402 	0.834161
209 	0.743186 	0.834161
210 	0.743182 	0.834161
211 	0.744033 	0.834161
212 	0.749009 	0.834161
213 	0.746777 	0.834161
214 	0.743100 	0.834161
215 	0.750016 	0.834161
216 	0.746054 	0.834161
217 	0.747343 	0.834161
218 	0.753046 	0.834161
219 	0.757558 	0.834161
220 	0.745553 	0.834161
221 	0.745222 	0.834161
222 	0.744618 	0.834161
223 	0.745300 	0.834161
224 	0.751282 	0.834161
225 	0.739669 	0.834161
226 	0.733585 	0.834161
227 	0.748206 	0.834161
228 	0.747852 	0.834161
229 	0.743938 	0.834161
230 	0.745711 	0.834161
231 	0.752752 	0.834161
