n° 	mediumBlock 	mediumBest
1 	0.767631 	0.819963
2 	0.758471 	0.819963
3 	0.764492 	0.819963
4 	0.757289 	0.819963
5 	0.751409 	0.819963
6 	0.746901 	0.819963
7 	0.759473 	0.819963
8 	0.759006 	0.819963
9 	0.753248 	0.819963
10 	0.749825 	0.819963
11 	0.755504 	0.819963
12 	0.749428 	0.819963
13 	0.756749 	0.819963
14 	0.752296 	0.819963
15 	0.751734 	0.819963
16 	0.748398 	0.819963
17 	0.750440 	0.819963
18 	0.754586 	0.819963
19 	0.748557 	0.819963
20 	0.753645 	0.819963
21 	0.748466 	0.819963
22 	0.749218 	0.819963
23 	0.754478 	0.819963
24 	0.748940 	0.819963
25 	0.753095 	0.819963
26 	0.758850 	0.819963
27 	0.748900 	0.819963
28 	0.747634 	0.820477
29 	0.748843 	0.820477
30 	0.750105 	0.820477
31 	0.752325 	0.820477
32 	0.749771 	0.820477
33 	0.752510 	0.820477
34 	0.748458 	0.820477
35 	0.743935 	0.820477
36 	0.754513 	0.820477
37 	0.751355 	0.820477
38 	0.755206 	0.820477
39 	0.755679 	0.820477
40 	0.752320 	0.820477
41 	0.752599 	0.820477
42 	0.761583 	0.820477
43 	0.752786 	0.820477
44 	0.746968 	0.820477
45 	0.758242 	0.820477
46 	0.750031 	0.820477
47 	0.749155 	0.820477
48 	0.751521 	0.820477
49 	0.746688 	0.820477
50 	0.746835 	0.820477
51 	0.745007 	0.820477
52 	0.744874 	0.820477
53 	0.745513 	0.820477
54 	0.740093 	0.820477
55 	0.746939 	0.820477
56 	0.749566 	0.820477
57 	0.756044 	0.820477
58 	0.753119 	0.820477
59 	0.754332 	0.820477
60 	0.747043 	0.820477
61 	0.750110 	0.820477
62 	0.747394 	0.820477
63 	0.747841 	0.820477
64 	0.742517 	0.820477
65 	0.747322 	0.820477
66 	0.750199 	0.820477
67 	0.751036 	0.820477
68 	0.748480 	0.820477
69 	0.753442 	0.820477
70 	0.748525 	0.820477
71 	0.749006 	0.820477
72 	0.743755 	0.820477
73 	0.743643 	0.820477
74 	0.746699 	0.820477
75 	0.744619 	0.820477
76 	0.746919 	0.820477
77 	0.737507 	0.820477
78 	0.747806 	0.820477
79 	0.741702 	0.820477
80 	0.747237 	0.820477
81 	0.743221 	0.820477
82 	0.744833 	0.820477
83 	0.749064 	0.820477
84 	0.747816 	0.820477
85 	0.745081 	0.820477
86 	0.746086 	0.820477
87 	0.744496 	0.820477
88 	0.747761 	0.820477
89 	0.749836 	0.820477
90 	0.751215 	0.820477
91 	0.742635 	0.820477
92 	0.752371 	0.820477
93 	0.744396 	0.820477
94 	0.748609 	0.820477
95 	0.742780 	0.820477
96 	0.746501 	0.820477
97 	0.748550 	0.820477
98 	0.742799 	0.822195
99 	0.743801 	0.822195
100 	0.744073 	0.822195
101 	0.751631 	0.822195
102 	0.745696 	0.822195
103 	0.738913 	0.822195
104 	0.746858 	0.822195
105 	0.753269 	0.822195
106 	0.749889 	0.822195
107 	0.751890 	0.822195
108 	0.739478 	0.822195
109 	0.744824 	0.822195
110 	0.749581 	0.822195
111 	0.744724 	0.822195
112 	0.746302 	0.822195
113 	0.741629 	0.822195
114 	0.747667 	0.822195
115 	0.743916 	0.822195
116 	0.741063 	0.822195
117 	0.741886 	0.822195
118 	0.747901 	0.822195
119 	0.749583 	0.822195
120 	0.744842 	0.822195
121 	0.750289 	0.822195
122 	0.752000 	0.822195
123 	0.746191 	0.822195
124 	0.748030 	0.822195
125 	0.739911 	0.822195
126 	0.753060 	0.822195
127 	0.744906 	0.822195
128 	0.744888 	0.822195
129 	0.746280 	0.822195
130 	0.744111 	0.822195
131 	0.744625 	0.822195
132 	0.742997 	0.822195
133 	0.748396 	0.822195
134 	0.749486 	0.822195
135 	0.746410 	0.822195
136 	0.741859 	0.822195
137 	0.746808 	0.822195
138 	0.749255 	0.822195
139 	0.744017 	0.822195
140 	0.751358 	0.822195
141 	0.747741 	0.822195
142 	0.751268 	0.822195
143 	0.744471 	0.822195
144 	0.754401 	0.822195
145 	0.741261 	0.822195
146 	0.746231 	0.822195
147 	0.743989 	0.822195
148 	0.742483 	0.822195
149 	0.740809 	0.822195
150 	0.746441 	0.822195
151 	0.747230 	0.822195
152 	0.743765 	0.822195
153 	0.744052 	0.822195
154 	0.746526 	0.822195
155 	0.749403 	0.822195
156 	0.743252 	0.822195
157 	0.749400 	0.822195
158 	0.747294 	0.822195
159 	0.750841 	0.822195
160 	0.746589 	0.822195
161 	0.743615 	0.822195
162 	0.751299 	0.822195
163 	0.738831 	0.822195
164 	0.741940 	0.822195
165 	0.744578 	0.822195
166 	0.742952 	0.822195
167 	0.745952 	0.822195
168 	0.742063 	0.822195
169 	0.742556 	0.822195
170 	0.744628 	0.822195
171 	0.741452 	0.822195
172 	0.739894 	0.822195
173 	0.751310 	0.822195
174 	0.740006 	0.822195
175 	0.748384 	0.822195
176 	0.745123 	0.822195
177 	0.746881 	0.822195
178 	0.747468 	0.822195
179 	0.743488 	0.822195
180 	0.737788 	0.822195
181 	0.745989 	0.822195
182 	0.744351 	0.822195
183 	0.744611 	0.822195
184 	0.742039 	0.822195
185 	0.745977 	0.822195
186 	0.746306 	0.822195
187 	0.742621 	0.822195
188 	0.749701 	0.822195
189 	0.751061 	0.822195
190 	0.743580 	0.822195
191 	0.743458 	0.822195
192 	0.748491 	0.822195
193 	0.741570 	0.822195
194 	0.745231 	0.822195
195 	0.744968 	0.822195
196 	0.745109 	0.822195
197 	0.746499 	0.822195
198 	0.743532 	0.822195
199 	0.747198 	0.822195
200 	0.743244 	0.822195
201 	0.745305 	0.822195
202 	0.741275 	0.822195
203 	0.749881 	0.822195
204 	0.746252 	0.822195
205 	0.750382 	0.822195
206 	0.748593 	0.822195
207 	0.752024 	0.822195
208 	0.745978 	0.822195
209 	0.750200 	0.822195
210 	0.745150 	0.822195
211 	0.742149 	0.822195
212 	0.743832 	0.822195
213 	0.753675 	0.826460
214 	0.742610 	0.826460
215 	0.744313 	0.826460
216 	0.746770 	0.826460
217 	0.743763 	0.826460
218 	0.745237 	0.826460
219 	0.750225 	0.826460
220 	0.743271 	0.826460
221 	0.751362 	0.826460
222 	0.745680 	0.826460
223 	0.753505 	0.826460
224 	0.737974 	0.826460
225 	0.742888 	0.826460
226 	0.743553 	0.826460
227 	0.749556 	0.826460
228 	0.740862 	0.826460
229 	0.748563 	0.826460
230 	0.744887 	0.826460
231 	0.744963 	0.826460
232 	0.743961 	0.826460
233 	0.743873 	0.826460
234 	0.735166 	0.826460
235 	0.749085 	0.826460
236 	0.748271 	0.826460
237 	0.748037 	0.826460
238 	0.743646 	0.826460
239 	0.747010 	0.826460
240 	0.749007 	0.826460
241 	0.737568 	0.826460
242 	0.743130 	0.826460
243 	0.742179 	0.826460
244 	0.748146 	0.826460
245 	0.744626 	0.826460
246 	0.751000 	0.826460
247 	0.742878 	0.826460
248 	0.749255 	0.826460
249 	0.743711 	0.826460
250 	0.742468 	0.826460
251 	0.744430 	0.826460
252 	0.745216 	0.826460
253 	0.746517 	0.826460
254 	0.738706 	0.826460
255 	0.746877 	0.826460
256 	0.747072 	0.826460
257 	0.743612 	0.826460
258 	0.738077 	0.826460
259 	0.739238 	0.826460
260 	0.743886 	0.826460
261 	0.740959 	0.826460
262 	0.746526 	0.826460
263 	0.742524 	0.826460
264 	0.736293 	0.826460
265 	0.740417 	0.826460
266 	0.747798 	0.826460
267 	0.742128 	0.826460
268 	0.742843 	0.826460
269 	0.740434 	0.826460
270 	0.743017 	0.826460
271 	0.744958 	0.826460
272 	0.745803 	0.826460
273 	0.746552 	0.826460
274 	0.744279 	0.826460
275 	0.746335 	0.826460
276 	0.744215 	0.826460
277 	0.748473 	0.826460
278 	0.746001 	0.826460
279 	0.745119 	0.826460
280 	0.739850 	0.826460
281 	0.743914 	0.826460
282 	0.742353 	0.826460
283 	0.752829 	0.826460
284 	0.743898 	0.826460
285 	0.742781 	0.826460
286 	0.747485 	0.826460
287 	0.746287 	0.826460
288 	0.742667 	0.826460
289 	0.741304 	0.826460
290 	0.747085 	0.826460
291 	0.747015 	0.826460
292 	0.745507 	0.826460
293 	0.742336 	0.826460
294 	0.746655 	0.826460
295 	0.747018 	0.826460
296 	0.747205 	0.826460
297 	0.749970 	0.826460
298 	0.738847 	0.826460
299 	0.744219 	0.826460
300 	0.753992 	0.826460
301 	0.745966 	0.826460
302 	0.747386 	0.826460
303 	0.751824 	0.826460
304 	0.748296 	0.826460
305 	0.747690 	0.826460
306 	0.744937 	0.826460
