n° 	mediumBlock 	mediumBest
1 	0.766653 	0.819279
2 	0.762085 	0.819279
3 	0.765168 	0.819279
4 	0.756592 	0.819279
5 	0.754712 	0.819279
6 	0.752295 	0.819279
7 	0.753560 	0.819279
8 	0.755430 	0.819279
9 	0.754657 	0.819279
10 	0.755807 	0.819279
11 	0.751519 	0.819279
12 	0.749267 	0.819279
13 	0.752751 	0.819279
14 	0.752195 	0.819279
15 	0.751678 	0.823488
16 	0.751302 	0.823488
17 	0.758650 	0.823488
18 	0.747208 	0.823488
19 	0.751491 	0.823488
20 	0.744331 	0.823488
21 	0.750548 	0.823488
22 	0.751074 	0.823488
23 	0.756511 	0.823488
24 	0.750331 	0.823488
25 	0.754668 	0.823488
26 	0.748219 	0.823488
27 	0.754113 	0.823488
28 	0.746687 	0.823488
29 	0.742754 	0.823488
30 	0.746276 	0.823488
31 	0.752325 	0.823488
32 	0.753128 	0.823488
33 	0.748347 	0.823488
34 	0.746452 	0.823488
35 	0.750090 	0.823488
36 	0.746178 	0.823488
37 	0.748629 	0.823488
38 	0.742987 	0.823488
39 	0.742439 	0.823488
40 	0.751176 	0.823488
41 	0.755596 	0.823488
42 	0.747266 	0.823488
43 	0.747573 	0.823488
44 	0.748868 	0.823488
45 	0.751946 	0.823488
46 	0.750860 	0.823488
47 	0.752493 	0.823488
48 	0.746250 	0.823488
49 	0.747911 	0.823488
50 	0.751790 	0.823488
51 	0.745874 	0.823488
52 	0.746086 	0.823488
53 	0.754465 	0.823488
54 	0.748761 	0.823488
55 	0.745751 	0.823488
56 	0.747989 	0.823488
57 	0.744155 	0.823488
58 	0.747968 	0.823488
59 	0.750231 	0.823488
60 	0.746837 	0.823488
61 	0.745483 	0.823488
62 	0.749151 	0.823488
63 	0.743554 	0.823488
64 	0.740065 	0.823488
65 	0.751429 	0.823488
66 	0.747253 	0.823488
67 	0.752670 	0.823488
68 	0.755564 	0.823488
69 	0.747751 	0.823488
70 	0.750435 	0.823488
71 	0.747322 	0.823488
72 	0.752203 	0.823488
73 	0.746926 	0.823488
74 	0.750399 	0.823488
75 	0.750162 	0.823488
76 	0.747453 	0.823488
77 	0.754116 	0.823488
78 	0.746193 	0.823488
79 	0.746615 	0.823488
80 	0.744959 	0.823488
81 	0.746971 	0.823488
82 	0.750185 	0.823488
83 	0.743506 	0.823488
84 	0.746486 	0.823488
85 	0.746913 	0.823488
86 	0.748910 	0.823488
87 	0.748272 	0.823488
88 	0.743297 	0.823488
89 	0.751343 	0.823488
90 	0.748135 	0.823488
91 	0.754120 	0.823488
92 	0.747247 	0.823488
93 	0.740907 	0.823488
94 	0.753406 	0.823488
95 	0.742590 	0.823488
96 	0.745566 	0.823488
97 	0.752031 	0.823488
98 	0.743716 	0.823488
99 	0.742765 	0.823488
100 	0.743564 	0.823488
101 	0.746059 	0.823488
102 	0.745863 	0.823488
103 	0.748591 	0.823488
104 	0.748964 	0.823488
105 	0.751943 	0.823488
106 	0.752429 	0.823488
107 	0.754147 	0.823488
108 	0.755447 	0.823488
109 	0.739840 	0.823488
110 	0.746984 	0.823488
111 	0.751008 	0.823488
112 	0.747942 	0.823488
113 	0.744591 	0.823488
114 	0.749715 	0.823488
115 	0.744842 	0.823488
116 	0.743435 	0.823488
117 	0.752155 	0.823488
118 	0.750805 	0.823488
119 	0.750778 	0.823488
120 	0.745945 	0.823488
121 	0.745861 	0.823488
122 	0.741922 	0.823488
123 	0.751004 	0.823488
124 	0.741224 	0.823488
125 	0.745823 	0.823488
126 	0.744925 	0.823488
127 	0.749731 	0.823488
128 	0.748200 	0.823488
129 	0.741205 	0.823488
130 	0.743645 	0.823488
131 	0.750465 	0.823488
132 	0.751035 	0.823488
133 	0.740651 	0.823488
134 	0.749148 	0.823488
135 	0.743497 	0.823488
136 	0.744959 	0.823488
137 	0.753530 	0.823488
138 	0.742416 	0.823488
139 	0.747574 	0.823488
140 	0.748329 	0.823488
141 	0.745681 	0.823488
142 	0.747752 	0.823488
143 	0.747504 	0.823488
144 	0.747148 	0.823488
145 	0.747142 	0.823488
146 	0.738387 	0.823488
147 	0.743615 	0.823488
148 	0.745941 	0.823488
149 	0.744426 	0.823488
150 	0.754760 	0.823488
151 	0.753797 	0.823488
152 	0.742191 	0.823488
153 	0.740110 	0.823488
154 	0.746202 	0.823488
155 	0.756960 	0.823488
156 	0.750025 	0.823488
157 	0.749613 	0.823488
158 	0.741494 	0.823488
159 	0.742708 	0.823488
160 	0.738474 	0.823488
161 	0.751400 	0.823488
162 	0.747157 	0.823488
163 	0.744869 	0.823488
164 	0.741049 	0.823488
165 	0.744359 	0.823488
166 	0.747868 	0.823488
167 	0.742160 	0.823488
168 	0.740307 	0.823488
169 	0.751705 	0.823488
170 	0.747349 	0.823488
171 	0.753607 	0.823488
172 	0.743304 	0.823488
173 	0.740524 	0.823488
174 	0.742650 	0.823488
175 	0.746314 	0.823488
176 	0.748748 	0.823488
177 	0.745461 	0.823488
178 	0.752217 	0.823488
179 	0.742997 	0.823488
180 	0.740772 	0.823488
181 	0.746650 	0.823488
182 	0.746659 	0.823488
183 	0.746358 	0.823488
184 	0.736922 	0.823488
185 	0.739154 	0.823488
186 	0.746570 	0.823488
187 	0.738935 	0.823488
188 	0.746722 	0.823488
189 	0.743923 	0.823488
190 	0.746461 	0.823488
191 	0.748507 	0.823488
192 	0.740003 	0.823488
193 	0.739743 	0.823488
194 	0.746088 	0.823488
195 	0.743960 	0.823488
196 	0.749370 	0.823488
197 	0.745245 	0.823488
198 	0.752779 	0.823488
199 	0.749085 	0.823488
200 	0.744341 	0.823488
201 	0.747880 	0.823488
202 	0.748891 	0.823488
203 	0.743919 	0.823488
204 	0.752628 	0.823488
205 	0.745107 	0.823488
206 	0.742416 	0.823488
207 	0.744350 	0.823488
208 	0.744338 	0.823488
209 	0.742132 	0.823488
210 	0.744208 	0.823488
211 	0.745937 	0.823488
212 	0.747607 	0.823488
213 	0.744370 	0.823488
214 	0.746107 	0.823488
215 	0.746732 	0.823488
216 	0.748134 	0.823488
217 	0.742183 	0.823488
218 	0.744497 	0.823488
219 	0.750109 	0.823488
220 	0.741352 	0.823488
221 	0.748458 	0.823488
222 	0.743940 	0.823488
223 	0.748450 	0.823488
224 	0.747264 	0.823488
225 	0.748456 	0.823488
226 	0.750908 	0.823488
227 	0.745811 	0.823488
228 	0.747883 	0.823488
229 	0.741445 	0.823488
230 	0.752639 	0.823488
231 	0.739588 	0.823488
232 	0.741734 	0.823488
233 	0.749090 	0.823488
234 	0.742261 	0.823488
235 	0.750160 	0.823488
236 	0.749844 	0.823488
237 	0.745106 	0.823488
238 	0.759445 	0.823488
239 	0.745201 	0.823488
240 	0.746965 	0.823488
241 	0.747363 	0.823488
242 	0.747364 	0.823488
243 	0.752058 	0.823488
244 	0.752157 	0.823488
245 	0.744680 	0.823488
246 	0.739684 	0.823488
247 	0.738258 	0.823488
248 	0.742798 	0.823488
249 	0.741713 	0.823488
250 	0.749011 	0.823488
251 	0.741916 	0.823488
252 	0.745214 	0.823488
253 	0.747397 	0.823488
254 	0.748295 	0.823488
255 	0.751512 	0.823488
256 	0.746740 	0.823488
257 	0.744373 	0.823488
258 	0.741293 	0.823488
259 	0.739493 	0.823488
260 	0.743341 	0.823488
261 	0.753016 	0.823488
262 	0.752493 	0.823488
263 	0.754828 	0.823488
264 	0.746688 	0.823488
265 	0.743486 	0.823488
266 	0.745016 	0.823488
267 	0.751054 	0.823488
268 	0.737775 	0.823488
269 	0.752374 	0.823488
270 	0.747416 	0.823488
271 	0.754957 	0.823488
272 	0.746202 	0.823488
273 	0.746576 	0.823488
274 	0.743965 	0.823488
275 	0.741644 	0.823488
276 	0.747150 	0.823488
277 	0.744030 	0.823488
278 	0.750043 	0.823488
279 	0.745730 	0.823488
280 	0.745167 	0.823488
281 	0.743957 	0.823488
282 	0.745511 	0.823488
283 	0.741925 	0.823488
284 	0.746003 	0.823488
285 	0.741020 	0.823488
286 	0.749643 	0.823488
287 	0.741312 	0.823488
288 	0.737750 	0.823488
289 	0.739502 	0.823488
290 	0.742289 	0.823488
291 	0.750657 	0.823488
292 	0.747006 	0.823488
293 	0.748866 	0.823488
294 	0.747537 	0.823488
295 	0.744969 	0.823488
296 	0.752121 	0.823488
297 	0.741430 	0.823488
298 	0.741383 	0.823488
299 	0.750837 	0.823488
300 	0.750274 	0.823488
301 	0.751029 	0.823488
302 	0.740897 	0.823488
303 	0.744275 	0.823488
304 	0.753351 	0.823488
305 	0.750374 	0.823488
306 	0.747979 	0.823488
