n° 	mediumBlock 	mediumBest
1 	0.766558 	0.815991
2 	0.762541 	0.815991
3 	0.755225 	0.815991
4 	0.755576 	0.817898
5 	0.755771 	0.817898
6 	0.751812 	0.817898
7 	0.752913 	0.817898
8 	0.751637 	0.817898
9 	0.756402 	0.817898
10 	0.758240 	0.817898
11 	0.751883 	0.817898
12 	0.753390 	0.817898
13 	0.753573 	0.817898
14 	0.744539 	0.817898
15 	0.749958 	0.817898
16 	0.753153 	0.817898
17 	0.754830 	0.817898
18 	0.749523 	0.817898
19 	0.747055 	0.817898
20 	0.750516 	0.817898
21 	0.754742 	0.817898
22 	0.758068 	0.817898
23 	0.753944 	0.817898
24 	0.749317 	0.817898
25 	0.754207 	0.817898
26 	0.755216 	0.817898
27 	0.753270 	0.817898
28 	0.751121 	0.817898
29 	0.753302 	0.824002
30 	0.758831 	0.824002
31 	0.749577 	0.824002
32 	0.754975 	0.824002
33 	0.746205 	0.824002
34 	0.747082 	0.824002
35 	0.745348 	0.824002
36 	0.754525 	0.824002
37 	0.757208 	0.824002
38 	0.745690 	0.824002
39 	0.749862 	0.824002
40 	0.746710 	0.824002
41 	0.752049 	0.824002
42 	0.743652 	0.824002
43 	0.753211 	0.824002
44 	0.747706 	0.824002
45 	0.743817 	0.824002
46 	0.755834 	0.824002
47 	0.752930 	0.824002
48 	0.748163 	0.824002
49 	0.751228 	0.824002
50 	0.746334 	0.824002
51 	0.745111 	0.824002
52 	0.748132 	0.824002
53 	0.752371 	0.824002
54 	0.749969 	0.824002
55 	0.743643 	0.824002
56 	0.750111 	0.824002
57 	0.751262 	0.824002
58 	0.749324 	0.824002
59 	0.748713 	0.824002
60 	0.748188 	0.824002
61 	0.749148 	0.824002
62 	0.747538 	0.824002
63 	0.745115 	0.824002
64 	0.752470 	0.824002
65 	0.755651 	0.824002
66 	0.754403 	0.824002
67 	0.752703 	0.824002
68 	0.746972 	0.824002
69 	0.745539 	0.824002
70 	0.748998 	0.824002
71 	0.749286 	0.824002
72 	0.754898 	0.824002
73 	0.743673 	0.824002
74 	0.749692 	0.824002
75 	0.749119 	0.824002
76 	0.744864 	0.824002
77 	0.743730 	0.824002
78 	0.753489 	0.824002
79 	0.746186 	0.824002
80 	0.744505 	0.824002
81 	0.743186 	0.824002
82 	0.762393 	0.824002
83 	0.751969 	0.824002
84 	0.745379 	0.824002
85 	0.747371 	0.824002
86 	0.753021 	0.824002
87 	0.745083 	0.824002
88 	0.747150 	0.824002
89 	0.752421 	0.824002
90 	0.747073 	0.824002
91 	0.747811 	0.824002
92 	0.752190 	0.824002
93 	0.749590 	0.824002
94 	0.747467 	0.824002
95 	0.751500 	0.824002
96 	0.749964 	0.824002
97 	0.748263 	0.824002
98 	0.746386 	0.824002
99 	0.747541 	0.824002
100 	0.745084 	0.824002
101 	0.746224 	0.824002
102 	0.742064 	0.824002
103 	0.739473 	0.824002
104 	0.743805 	0.824002
105 	0.745381 	0.824002
106 	0.749725 	0.824002
107 	0.748351 	0.824002
108 	0.746026 	0.824002
109 	0.746859 	0.824002
110 	0.747185 	0.824002
111 	0.744222 	0.824002
112 	0.746177 	0.824002
113 	0.744209 	0.824002
114 	0.747169 	0.824002
115 	0.760171 	0.824002
116 	0.757644 	0.824002
117 	0.748921 	0.824002
118 	0.750933 	0.824002
119 	0.744757 	0.824002
120 	0.745537 	0.824002
121 	0.748501 	0.824002
122 	0.743057 	0.824002
123 	0.745397 	0.824002
124 	0.743849 	0.824002
125 	0.740756 	0.824002
126 	0.744066 	0.824002
127 	0.745310 	0.824002
128 	0.742411 	0.824002
129 	0.743782 	0.824002
130 	0.743169 	0.824002
131 	0.749855 	0.824002
132 	0.745301 	0.824002
133 	0.747708 	0.824002
134 	0.745652 	0.824002
135 	0.744732 	0.824002
136 	0.746996 	0.824002
137 	0.742192 	0.824002
138 	0.749877 	0.824002
139 	0.750760 	0.824002
140 	0.750687 	0.824002
141 	0.742569 	0.824002
142 	0.742322 	0.824002
143 	0.742976 	0.824002
144 	0.741466 	0.824002
145 	0.740856 	0.824002
146 	0.746073 	0.824002
147 	0.738624 	0.824002
148 	0.747593 	0.824002
149 	0.751582 	0.824002
150 	0.742648 	0.824002
151 	0.746842 	0.824002
152 	0.736837 	0.824002
153 	0.746622 	0.824002
154 	0.752502 	0.824002
155 	0.747314 	0.824002
156 	0.748262 	0.824002
157 	0.742392 	0.824002
158 	0.749279 	0.824002
159 	0.737736 	0.824002
160 	0.747159 	0.824002
161 	0.743920 	0.824002
162 	0.744947 	0.824002
163 	0.742584 	0.824002
164 	0.743780 	0.824002
165 	0.745679 	0.824002
166 	0.752188 	0.824002
167 	0.742069 	0.824002
168 	0.744352 	0.824002
169 	0.747592 	0.824002
170 	0.741440 	0.824002
171 	0.744976 	0.824002
172 	0.751730 	0.824002
173 	0.740617 	0.824002
174 	0.740916 	0.824002
175 	0.748754 	0.824002
176 	0.745229 	0.824002
177 	0.749408 	0.824002
178 	0.750876 	0.824002
179 	0.750380 	0.824002
180 	0.752244 	0.824002
181 	0.747704 	0.824002
182 	0.743575 	0.824002
183 	0.743484 	0.824002
184 	0.744257 	0.824002
185 	0.750220 	0.824002
186 	0.748683 	0.824002
187 	0.747264 	0.824002
188 	0.744448 	0.824002
189 	0.751409 	0.824002
190 	0.750547 	0.824002
191 	0.742795 	0.824002
192 	0.743939 	0.824002
193 	0.748451 	0.824002
194 	0.748578 	0.824002
195 	0.741404 	0.824002
196 	0.748350 	0.824002
197 	0.753211 	0.824002
198 	0.738798 	0.824002
199 	0.743859 	0.824002
200 	0.742525 	0.824002
201 	0.742197 	0.824002
202 	0.745527 	0.824002
203 	0.746648 	0.824002
204 	0.742920 	0.824002
205 	0.752249 	0.824002
206 	0.747659 	0.824002
207 	0.744279 	0.824002
208 	0.751270 	0.824002
209 	0.748523 	0.824002
210 	0.747898 	0.824002
211 	0.744764 	0.824002
212 	0.749935 	0.824002
213 	0.743802 	0.824002
214 	0.756614 	0.824002
215 	0.745610 	0.824002
216 	0.748804 	0.824002
217 	0.742169 	0.824002
218 	0.747936 	0.824002
219 	0.743795 	0.824002
220 	0.750207 	0.824002
221 	0.746519 	0.824002
222 	0.747854 	0.824002
223 	0.743612 	0.824002
224 	0.742086 	0.824002
225 	0.744633 	0.824002
226 	0.742972 	0.824002
227 	0.740398 	0.824002
228 	0.745718 	0.824002
229 	0.749341 	0.824002
230 	0.751218 	0.824002
231 	0.744376 	0.824002
232 	0.744869 	0.824002
233 	0.748918 	0.824002
234 	0.742117 	0.824002
235 	0.747021 	0.824002
236 	0.745325 	0.824002
237 	0.743366 	0.824002
238 	0.750959 	0.824002
239 	0.749031 	0.824002
240 	0.749132 	0.824002
241 	0.740485 	0.824002
242 	0.749536 	0.824002
243 	0.749823 	0.824002
244 	0.752075 	0.824002
245 	0.747063 	0.824002
246 	0.744542 	0.824002
247 	0.746029 	0.824002
248 	0.750289 	0.824002
249 	0.751522 	0.824002
250 	0.755511 	0.824002
251 	0.753637 	0.824002
252 	0.748261 	0.824002
253 	0.742200 	0.824002
254 	0.748792 	0.824002
255 	0.746279 	0.824002
256 	0.742008 	0.824002
257 	0.746519 	0.824002
258 	0.745141 	0.824002
259 	0.750497 	0.824002
260 	0.746052 	0.824002
261 	0.745014 	0.824002
262 	0.744036 	0.824002
263 	0.743354 	0.824002
264 	0.743278 	0.824002
265 	0.740298 	0.824002
266 	0.750238 	0.824002
267 	0.751011 	0.824002
268 	0.740029 	0.824002
269 	0.741528 	0.824002
270 	0.752824 	0.824002
271 	0.752819 	0.824002
272 	0.750914 	0.824002
273 	0.744150 	0.824002
274 	0.749649 	0.824002
275 	0.755861 	0.824002
276 	0.743351 	0.824002
277 	0.747005 	0.824002
278 	0.746812 	0.824002
279 	0.750926 	0.824002
280 	0.742366 	0.824002
281 	0.749461 	0.824002
282 	0.743024 	0.824002
283 	0.746185 	0.824002
284 	0.749363 	0.824002
285 	0.750562 	0.824002
286 	0.738324 	0.824002
287 	0.751856 	0.824002
288 	0.745368 	0.824002
289 	0.743998 	0.824002
290 	0.746135 	0.824002
291 	0.749671 	0.824002
292 	0.742314 	0.824002
293 	0.741208 	0.824002
294 	0.745728 	0.824002
295 	0.743069 	0.824002
296 	0.741709 	0.824002
297 	0.744106 	0.824002
298 	0.739135 	0.824002
299 	0.747207 	0.824002
300 	0.746638 	0.824002
301 	0.751145 	0.824002
302 	0.748243 	0.824002
303 	0.740301 	0.824002
304 	0.748363 	0.824002
305 	0.755915 	0.824002
306 	0.751917 	0.824002
307 	0.746695 	0.824002
308 	0.754474 	0.824002
309 	0.748405 	0.824002
310 	0.740596 	0.824002
311 	0.747076 	0.824002
312 	0.748066 	0.824002
313 	0.741676 	0.824002
314 	0.751051 	0.824002
315 	0.748577 	0.824002
316 	0.740916 	0.824002
317 	0.748261 	0.824002
318 	0.743226 	0.824002
319 	0.746765 	0.824002
320 	0.744789 	0.824002
321 	0.746833 	0.824002
322 	0.742068 	0.824002
323 	0.741614 	0.824002
324 	0.743619 	0.824002
325 	0.745260 	0.824002
326 	0.740669 	0.824002
327 	0.745016 	0.824002
328 	0.747782 	0.824002
329 	0.747243 	0.824002
330 	0.741790 	0.824002
331 	0.738524 	0.824002
332 	0.748762 	0.824002
333 	0.745651 	0.824002
334 	0.745910 	0.824002
335 	0.736445 	0.824002
336 	0.741316 	0.824002
337 	0.746351 	0.824002
338 	0.735658 	0.824002
339 	0.744096 	0.824002
340 	0.743902 	0.824002
341 	0.745979 	0.824002
342 	0.743489 	0.824002
343 	0.743095 	0.824002
344 	0.747859 	0.824002
345 	0.743945 	0.824002
346 	0.743365 	0.824002
347 	0.748144 	0.824002
348 	0.740142 	0.824002
349 	0.740671 	0.824002
350 	0.747456 	0.824002
351 	0.751864 	0.824002
352 	0.745822 	0.824002
353 	0.746670 	0.824002
354 	0.743641 	0.824002
355 	0.747954 	0.824002
356 	0.745510 	0.824002
357 	0.738414 	0.824002
358 	0.747820 	0.824002
359 	0.743148 	0.824002
360 	0.739508 	0.824002
361 	0.749605 	0.824002
362 	0.746717 	0.824002
363 	0.736907 	0.824002
364 	0.739962 	0.824002
365 	0.743675 	0.824002
366 	0.742346 	0.824002
367 	0.739274 	0.824002
368 	0.754919 	0.824002
369 	0.747842 	0.824002
370 	0.738876 	0.824002
371 	0.744805 	0.824002
372 	0.742546 	0.824002
373 	0.743546 	0.824002
374 	0.747590 	0.824002
375 	0.745039 	0.824002
376 	0.744728 	0.824002
377 	0.745583 	0.824002
378 	0.740727 	0.824002
379 	0.746024 	0.824002
380 	0.748850 	0.824002
381 	0.752192 	0.824002
382 	0.742596 	0.824002
383 	0.742584 	0.824002
384 	0.739472 	0.824002
385 	0.748333 	0.824002
386 	0.744317 	0.824002
387 	0.747109 	0.824002
388 	0.749671 	0.824002
389 	0.750696 	0.824002
390 	0.737706 	0.824002
391 	0.739380 	0.824002
392 	0.754196 	0.824002
393 	0.740654 	0.824002
394 	0.747225 	0.824002
395 	0.745324 	0.824002
396 	0.748252 	0.824002
397 	0.745816 	0.824002
398 	0.739598 	0.824002
399 	0.745342 	0.824002
400 	0.741456 	0.824002
401 	0.743562 	0.824002
402 	0.739786 	0.824002
403 	0.748137 	0.824002
404 	0.743907 	0.824002
405 	0.740262 	0.824002
406 	0.747439 	0.824002
407 	0.746703 	0.824002
408 	0.748699 	0.824002
409 	0.739723 	0.824002
410 	0.741908 	0.824002
411 	0.743470 	0.824002
412 	0.748229 	0.824002
413 	0.743530 	0.824002
414 	0.744742 	0.824002
415 	0.741877 	0.824002
416 	0.746304 	0.824002
417 	0.739758 	0.824002
418 	0.744105 	0.824002
419 	0.748975 	0.824002
420 	0.738262 	0.824002
421 	0.742237 	0.824002
422 	0.742673 	0.824002
423 	0.743643 	0.824002
424 	0.744572 	0.824002
425 	0.744572 	0.824002
426 	0.747360 	0.824002
427 	0.746544 	0.824002
428 	0.747598 	0.824002
429 	0.742986 	0.824002
430 	0.748628 	0.824002
431 	0.748708 	0.824002
432 	0.743737 	0.824002
433 	0.742273 	0.824002
434 	0.753781 	0.824002
435 	0.742623 	0.824002
436 	0.739296 	0.824002
437 	0.749981 	0.824002
438 	0.740947 	0.824002
439 	0.742412 	0.824002
440 	0.744353 	0.824002
441 	0.742901 	0.824002
442 	0.744272 	0.824002
443 	0.741001 	0.824002
444 	0.744207 	0.824002
445 	0.745037 	0.824002
446 	0.744378 	0.824002
447 	0.743283 	0.824002
448 	0.750160 	0.824002
449 	0.747693 	0.824002
450 	0.743685 	0.824002
451 	0.748082 	0.824002
452 	0.750575 	0.824002
453 	0.745783 	0.824002
454 	0.745756 	0.824002
455 	0.745054 	0.824002
456 	0.754359 	0.824002
457 	0.748469 	0.824002
458 	0.746997 	0.824002
459 	0.742279 	0.824002
460 	0.741516 	0.824002
461 	0.742466 	0.824002
462 	0.743614 	0.824002
463 	0.753135 	0.824002
464 	0.738689 	0.824002
465 	0.732353 	0.824002
466 	0.744469 	0.824002
467 	0.741459 	0.824002
468 	0.749911 	0.824002
469 	0.744728 	0.824002
470 	0.741531 	0.824002
471 	0.743293 	0.824002
472 	0.747495 	0.824002
473 	0.737849 	0.824002
474 	0.741155 	0.824002
475 	0.743642 	0.824002
476 	0.748002 	0.824002
477 	0.745129 	0.824002
478 	0.745235 	0.824002
479 	0.742548 	0.824002
480 	0.748761 	0.824002
481 	0.740753 	0.824002
482 	0.744160 	0.824002
483 	0.739218 	0.824002
484 	0.742903 	0.824002
485 	0.743378 	0.824002
486 	0.741620 	0.824002
487 	0.739115 	0.824002
488 	0.746739 	0.824002
489 	0.750718 	0.824002
490 	0.745544 	0.824002
491 	0.743005 	0.824002
492 	0.735668 	0.824002
493 	0.752285 	0.824002
494 	0.752232 	0.824002
495 	0.744954 	0.824002
496 	0.744670 	0.824002
497 	0.746069 	0.824002
498 	0.736836 	0.824002
499 	0.748704 	0.824002
500 	0.749430 	0.824002
501 	0.743017 	0.824002
502 	0.741136 	0.824002
503 	0.744759 	0.824002
504 	0.736165 	0.824002
505 	0.743454 	0.824002
506 	0.743205 	0.824002
507 	0.743449 	0.824002
508 	0.746445 	0.824002
509 	0.740213 	0.824002
510 	0.740550 	0.824002
511 	0.740383 	0.824002
512 	0.740889 	0.824002
513 	0.742794 	0.824002
514 	0.743678 	0.824002
515 	0.743513 	0.824002
516 	0.742316 	0.824002
517 	0.740175 	0.824002
518 	0.743720 	0.824002
519 	0.743918 	0.824002
520 	0.743812 	0.824002
521 	0.748711 	0.824002
522 	0.746474 	0.824002
523 	0.742065 	0.824002
524 	0.741553 	0.824002
525 	0.744574 	0.824002
526 	0.742999 	0.824002
527 	0.742680 	0.824002
528 	0.749411 	0.824002
529 	0.738959 	0.824002
530 	0.745306 	0.824002
531 	0.744695 	0.824002
532 	0.744630 	0.824002
533 	0.747837 	0.824002
534 	0.748534 	0.824002
535 	0.746877 	0.824002
536 	0.739179 	0.824002
537 	0.744658 	0.824002
538 	0.749446 	0.824002
539 	0.741048 	0.824002
540 	0.742441 	0.824002
541 	0.741275 	0.824002
542 	0.743060 	0.824002
543 	0.742012 	0.824002
544 	0.738994 	0.824002
545 	0.736499 	0.824002
546 	0.742536 	0.824002
547 	0.743750 	0.824002
548 	0.748756 	0.824002
549 	0.742676 	0.824002
550 	0.746409 	0.824002
551 	0.742545 	0.824002
552 	0.744210 	0.824002
553 	0.742994 	0.824002
554 	0.747835 	0.824002
555 	0.747616 	0.824002
556 	0.743003 	0.824002
557 	0.744603 	0.824002
558 	0.744242 	0.824002
559 	0.743727 	0.824002
560 	0.747326 	0.824002
561 	0.747268 	0.824002
562 	0.740430 	0.824002
563 	0.743620 	0.824002
564 	0.747232 	0.824002
565 	0.742485 	0.824002
566 	0.741090 	0.824002
567 	0.742052 	0.824002
568 	0.745261 	0.824002
569 	0.745186 	0.824002
570 	0.740605 	0.824002
571 	0.741903 	0.824002
572 	0.742478 	0.824002
573 	0.743158 	0.824002
574 	0.748283 	0.824002
575 	0.742276 	0.824002
576 	0.742082 	0.824002
577 	0.746429 	0.824002
578 	0.744558 	0.824002
579 	0.741204 	0.824002
580 	0.753000 	0.824002
581 	0.737653 	0.824002
582 	0.743339 	0.824002
583 	0.749498 	0.824002
584 	0.741734 	0.824002
585 	0.744883 	0.824002
586 	0.744579 	0.824002
587 	0.743261 	0.824002
588 	0.746068 	0.824002
589 	0.749708 	0.824002
590 	0.752424 	0.824002
591 	0.741678 	0.824002
592 	0.750957 	0.824002
593 	0.741828 	0.824002
594 	0.750394 	0.824002
595 	0.742169 	0.824002
596 	0.749201 	0.824002
597 	0.740579 	0.824002
598 	0.748587 	0.824002
599 	0.743531 	0.824002
600 	0.746456 	0.824002
